Community,PC-1,PC-2,Log10(KP-CFU)
Mix01 (KP only),-3.3321275748927848,-2.444612448345376,8.991226076135652
Mix02,-3.0459162874791406,-1.943434420031975,8.491361695235222
Mix03,-3.3992084947406114,-1.234896512272916,8.591064608140075
Mix04,-3.7628744697538634,0.7162649708101434,8.146128038780342
Mix05,-3.746813292844272,1.3865646961713927,7.204120009799329
Mix06,-1.6686436623149086,-0.6897391328067124,7.845098046218464
Mix07,-3.7468132928442746,1.3865646961713967,7.397940026043816
Mix08,-1.4150804576633103,-0.8386056632802328,7.361727854899962
Mix09,-3.5734105960343387,2.2940239323255414,6.612783962645206
Mix10,-1.734287314426944,-0.5318226491092123,8.556302501973661
Mix11,-0.641037394607339,-2.278625736003157,8.342422682796272
Mix12,-3.4841278714623902,2.8634132267632295,4.929424035031084
Mix13,-1.5276922805492827,-1.8170505655655151,7.643452686356516
Mix14,-1.572140263706491,-0.530911082929758,7.770852019003067
Mix15,-0.8493606947662382,-0.1424589953186413,5.954242991988481
Mix16,-1.6090771846281666,-0.5108811699230414,8.204119985370266
Mix17,-3.227067916673826,3.1308885715640145,4.977728176785649
Mix18,-1.035382706066302,-2.0765550642196904,7.518513953038326
Mix19,-0.6145335835456934,0.3770746457122084,7.176091288008646
Mix20,1.2077898616588325,-1.2126617838654017,6.633468556578292
Mix21,-1.4055171347197002,-0.04905756594640556,5.732394564071265
Mix22,-1.3782186447197744,0.4293435496131497,7.596597106621257
Mix23,0.11040473531109667,-0.333911533556841,7.301030017378705
Mix24,-1.0352712638128307,-0.40378846046930705,7.623249300738245
Mix25,-3.1932363243712962,3.611335930454976,5.812914024787698
Mix26,-0.7410829667871148,0.9046567658710541,5.908485555044346
Mix27,-0.5064295175147767,-1.8031704765265748,7.681241246423389
Mix28,0.6565888855948521,-2.182136281068504,6.707570261253709
Mix29,0.4880925192363097,-2.2267012902317114,6.875061321297627
Mix30,-0.34114963000633747,-0.9459505862000234,7.568201735804683
Mix31,1.5452906241941136,-1.0707013303609842,4.707578691592528
Mix32,-0.38397950071713033,1.3662059905636956,6.176091548585239
Mix33,-1.0154693974774023,0.25199837509159434,7.414973364674451
Mix34,0.22464203645019243,-0.7946884591304751,5.447159582391171
Mix35,0.11877680178226671,-1.1728949306324574,7.462398012874628
Mix36,-0.5110192518819866,-0.6706522790586947,5.278755886707245
Mix37,-0.1324456935829917,-3.1879733561562213,6.518514071482256
Mix38,0.3308072363190296,-0.9886381135498842,8.204119985370266
Mix39,-3.071961538245592,3.766897485972696,5.1303369854792535
Mix40,0.4839237357726787,0.5044842479121685,6.966141779689785
Mix41,-0.11413025505181955,-1.299900070489606,7.278753623810433
Mix42,-0.9052329985544816,-0.49787854758290445,6.672097950338789
Mix43,-0.26608630068064815,-0.6271664297128624,6.880813649424798
Mix44,1.4714524835957665,-2.2551704832440063,7.146128066699271
Mix45,-0.2375003848438877,0.6281561315671585,6.806180041842395
Mix46,10.151144157430574,4.129761050188164,0.0
Mix47,1.225834240955291,-2.922766827954589,6.50515011403691
Mix48,1.5589549361697193,-1.3637999500648121,4.851264465499688
Mix49,0.3822860496419529,-0.9133175451087415,7.748188034761459
Mix50,0.44500533373279233,-2.292721114877808,7.255272529230776
Mix51,2.747636721047847,-2.1661187001404265,6.518514071482256
Mix52,0.4804978638815794,-0.7036180977561841,7.204120009799329
Mix53,-0.5208409440800795,0.03193036190982994,6.146128345888472
Mix54,-0.44626128613165955,-1.1068151313210317,6.31175407290667
Mix55,-0.21785808232289156,-1.044350810068,8.36172783790583
Mix56,-0.7831947202748644,2.419193297539447,7.342422700562864
Mix57,-0.8700253199518378,1.7646435659093556,7.176091288008646
Mix58,-0.376431138909337,-0.9976567261127371,6.025306274976352
Mix59,-3.071961538245592,3.766897485972696,5.716004178815692
Mix60,1.5372465570557734,0.3027642837392928,6.301030212811168
Mix61,0.7742463916178902,-0.7469727010297532,7.255272529230776
Mix62,1.8830721045841032,-0.49316939822689976,6.698970091194907
Mix63,0.6910777847873846,-1.8126257080134531,7.04139272463954
Mix64,0.43607229486830157,0.5468403937851011,6.50515011403691
Mix65,1.3700840117687714,-0.06728475193038817,7.146128066699271
Mix66,1.882849166113799,-1.8373204448072646,5.707571027654909
