"sample","sampleid","otu","Kingdom","Phylum","Class","Order","Family","Genus","pctseqs"
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00215;seqs=451774;samples=2930","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.000490725291981549
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00222;seqs=426516;samples=1658","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0030424968102856
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00223;seqs=424742;samples=1993","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster",0.000490725291981549
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00230;seqs=405323;samples=851","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Parvimonas",0.000490725291981549
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00232;seqs=402982;samples=4299","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",0.000294435175188929
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00253;seqs=356759;samples=1659","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",0.00392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00276;seqs=304759;samples=2384","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.00137403081754834
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00297;seqs=284431;samples=2415","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Murimonas",0.00147217587594465
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00301;seqs=279813;samples=2070","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 3","Caldisalinibacter",0.000883305525566788
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00303;seqs=278914;samples=1954","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.00157032093434096
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00306;seqs=274348;samples=1705","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.000588870350377858
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00313;seqs=264592;samples=2003","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter",0.00343507704387084
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00324;seqs=255373;samples=830","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis",0.00176661105113358
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00326;seqs=253079;samples=2114","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",0.000294435175188929
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00340;seqs=232723;samples=1009","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.0104033761900088
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00397;seqs=183528;samples=1252","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.00107959564235941
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00413;seqs=174695;samples=964","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.000883305525566788
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00495;seqs=132874;samples=1005","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium IV",0.000490725291981549
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00513;seqs=127443;samples=1558","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.000687015408774168
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00519;seqs=125559;samples=823","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.00549612327019335
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00593;seqs=103884;samples=547","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.0050053979782118
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00607;seqs=101642;samples=2391","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella",0.000490725291981549
